데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,서울특별시,특별시,테슬라코리아,일반승용,(단종)Model Y RWD,201,16.8,217.8,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,(단종)Model Y Long Range,184,18,202,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,(단종)Model Y Performance,191,19.2,210.2,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,Model 3 Performance,187,19.2,206.2,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,20.4,222.4,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,Model 3 RWD,186,19.2,205.2,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,New Model Y Long Range,207,20.4,227.4,2025-07-13 20:18:16
2025,서울특별시,특별시,테슬라코리아,일반승용,New Model Y RWD,188,19.2,207.2,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,17,218,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,17,219,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,36,458,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,18,233,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,폭스바겐 ID.4 Pro,422,36,458,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,아우디 Q4 Sportback 45 e-tron,201,17,218,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,아우디 Q4 45 e-tron,201,17,218,2025-07-13 20:18:16
2025,서울특별시,특별시,폭스바겐그룹코리아,일반승용,아우디 Q6 e-tron performance,220,18,238,2025-07-13 20:18:16
