데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,대전광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Long Range,184,79,263,2025-07-13 20:18:16
2025,대전광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Performance,191,82,273,2025-07-13 20:18:16
2025,대전광역시,광역시,테슬라코리아,일반승용,Model 3 Performance,187,80,267,2025-07-13 20:18:16
2025,대전광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,87,289,2025-07-13 20:18:16
2025,대전광역시,광역시,테슬라코리아,일반승용,Model 3 RWD,186,80,266,2025-07-13 20:18:16
2025,대전광역시,광역시,테슬라코리아,일반승용,New Model Y Long Range,207,89,296,2025-07-13 20:18:16
2025,대전광역시,광역시,테슬라코리아,일반승용,New Model Y RWD,188,81,269,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,86,287,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,87,289,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,181,603,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,92,307,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,폭스바겐 ID.4 Pro,422,181,603,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,아우디 Q4 Sportback 45 e-tron,201,86,287,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,아우디 Q4 45 e-tron,201,86,287,2025-07-13 20:18:16
2025,대전광역시,광역시,폭스바겐그룹코리아,일반승용,아우디 Q6 e-tron performance,220,94,314,2025-07-13 20:18:16
2025,대전광역시,광역시,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Single Motor,181,78,259,2025-07-13 20:18:16
2025,대전광역시,광역시,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Dual Motor,141,60,201,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 17인치,500,214,714,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 15인치,500,214,714,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 기본형 15인치,500,214,714,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 크로스 17인치,500,214,714,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,123,410,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,112,373,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,108,359,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,101,337,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,105,349,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,112,372,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,226,861,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,247,933,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,245,925,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,247,933,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,231,878,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,192,765,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,225,848,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,202,770,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉5 N,232,100,332,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,248,907,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,247,903,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,245,896,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,233,857,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,244,894,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,237,870,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,224,826,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,Electrified G80 AWD 19인치(2025),275,118,393,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 스탠다드 19인치,561,212,773,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 20인치(2025),250,107,357,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 19인치(2025),266,114,380,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,225,848,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉9 성능형 AWD,277,119,396,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉9 항속형 AWD,276,118,394,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,아이오닉9 항속형 2WD,279,120,399,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치(2025),248,106,354,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 20인치(2025),266,114,380,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 19인치(2025),277,119,396,2025-07-13 20:18:16
2025,대전광역시,광역시,현대자동차,일반승용,GV60 스탠다드 2WD 19인치(2025),290,125,415,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI Cooper SE,303,120,423,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,i4 eDrive40,189,74,263,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,i4 M50,172,68,240,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,iX1 xDrive30,154,61,215,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,i4 eDrive40 LCI,187,74,261,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,iX2 eDrive20,167,66,233,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI Countryman SE ALL4,158,62,220,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI Countryman E,166,65,231,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI Aceman SE,306,121,427,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,i4 M50 LCI,177,70,247,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI JCW Aceman E,151,59,210,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI JCW E,147,58,205,2025-07-13 20:18:16
2025,부산광역시,광역시,BMW,일반승용,MINI Aceman E,306,121,427,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,181,638,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,181,638,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,181,638,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,The all-new Kia Niro EV,590,247,837,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV9 롱레인지 2WD 19인치,275,159,434,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV9 롱레인지 2WD 20인치,273,158,431,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV9 롱레인지 4WD 19인치,259,152,411,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV9 롱레인지 4WD 21인치,265,155,420,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,151,408,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,264,881,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,275,919,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,276,922,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,280,935,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV3 롱레인지 2WD 17인치,565,274,839,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV3 롱레인지 2WD 19인치,565,274,839,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV3 스탠다드 2WD,479,239,718,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,더뉴EV6 GT,232,142,374,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,더뉴EV6 스탠다드,582,252,834,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV9 스탠다드,242,145,387,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,274,839,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV4 스탠다드 2WD 19인치,491,244,735,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV4 롱레인지 2WD 17인치,565,274,839,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV4 롱레인지 2WD 19인치,565,274,839,2025-07-13 20:18:16
2025,부산광역시,광역시,기아,일반승용,EV4 스탠다드 2WD 17인치,522,257,779,2025-07-13 20:18:16
2025,부산광역시,광역시,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,60,212,2025-07-13 20:18:16
2025,부산광역시,광역시,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,60,212,2025-07-13 20:18:16
2025,부산광역시,광역시,메르세데스벤츠코리아,일반승용,EQA250(Facelift),190,75,265,2025-07-13 20:18:16
2025,부산광역시,광역시,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(5인승),154,61,215,2025-07-13 20:18:16
2025,부산광역시,광역시,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(7인승),154,61,215,2025-07-13 20:18:16
2025,부산광역시,광역시,볼보자동차코리아,일반승용,볼보 EX30 Single Motor ER,247,97,344,2025-07-13 20:18:16
2025,부산광역시,광역시,비와이디코리아,일반승용,BYD ATTO 3,145,57,202,2025-07-13 20:18:16
2025,부산광역시,광역시,쎄보모빌리티,초소형,(단종)CEVO-C SE,200,130,330,2025-07-13 20:18:16
2025,부산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 2WD 18인치,373,191,564,2025-07-13 20:18:16
2025,부산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 2WD 20인치,356,184,540,2025-07-13 20:18:16
2025,부산광역시,광역시,케이지모빌리티,일반승용,코란도 EV 2WD,340,184,524,2025-07-13 20:18:16
2025,부산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 18인치,364,194,558,2025-07-13 20:18:16
2025,부산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 20인치,354,190,544,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,(단종)Model 3 RWD(2024),183,72,255,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,Model 3 Long Range,202,80,282,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y RWD,201,67,268,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Long Range,184,72,256,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Performance,191,75,266,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,Model 3 Performance,187,74,261,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,80,282,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,Model 3 RWD,186,73,259,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,New Model Y Long Range,207,82,289,2025-07-13 20:18:16
2025,부산광역시,광역시,테슬라코리아,일반승용,New Model Y RWD,188,74,262,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,79,280,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,80,282,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,167,589,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,85,300,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,폭스바겐 ID.4 Pro,422,167,589,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,아우디 Q4 Sportback 45 e-tron,201,79,280,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,아우디 Q4 45 e-tron,201,79,280,2025-07-13 20:18:16
2025,부산광역시,광역시,폭스바겐그룹코리아,일반승용,아우디 Q6 e-tron performance,220,87,307,2025-07-13 20:18:16
2025,부산광역시,광역시,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Single Motor,181,71,252,2025-07-13 20:18:16
2025,부산광역시,광역시,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Dual Motor,141,55,196,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 17인치,500,198,698,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 15인치,500,198,698,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 기본형 15인치,500,198,698,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,경·소형,캐스퍼 일렉트릭 크로스 17인치,500,198,698,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,163,450,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,153,414,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,149,400,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,143,379,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,146,390,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,153,413,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,258,893,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,278,964,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,275,955,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,278,964,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,262,909,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,227,800,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,257,880,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,235,803,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉5 N,232,142,374,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,278,937,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,277,933,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,275,926,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,264,888,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,275,925,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,268,901,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,256,858,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,Electrified G80 AWD 19인치(2025),275,159,434,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,더뉴아이오닉5 2WD 스탠다드 19인치,561,245,806,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 20인치(2025),250,149,399,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,Electrified GV70 AWD 19인치(2025),266,155,421,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),623,257,880,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉9 성능형 AWD,277,159,436,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉9 항속형 AWD,276,159,435,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,아이오닉9 항속형 2WD,279,160,439,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치(2025),248,148,396,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 20인치(2025),266,155,421,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 스탠다드 AWD 19인치(2025),277,159,436,2025-07-13 20:18:16
2025,부산광역시,광역시,현대자동차,일반승용,GV60 스탠다드 2WD 19인치(2025),290,165,455,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI Cooper SE,303,151,454,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,i4 eDrive40,189,94,283,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,i4 M50,172,86,258,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,iX1 xDrive30,154,77,231,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,i4 eDrive40 LCI,187,93,280,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,iX2 eDrive20,167,83,250,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI Countryman SE ALL4,158,79,237,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI Countryman E,166,83,249,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI Aceman SE,306,153,459,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,i4 M50 LCI,177,88,265,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI JCW Aceman E,151,75,226,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI JCW E,147,73,220,2025-07-13 20:18:16
2025,울산광역시,광역시,BMW,일반승용,MINI Aceman E,306,153,459,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,경·소형,레이 EV 2WD 14인치 4인승 승용,457,227,684,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,경·소형,레이 EV 2WD 14인치 2인승 밴,457,227,684,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,경·소형,레이 EV 2WD 14인치 1인승 밴,457,227,684,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,The all-new Kia Niro EV,590,249,839,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV9 롱레인지 2WD 19인치,275,137,412,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV9 롱레인지 2WD 20인치,273,136,409,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV9 롱레인지 4WD 19인치,259,129,388,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV9 롱레인지 4WD 21인치,265,132,397,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV9 롱레인지 GTL 4WD 21인치,257,128,385,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 4WD 20인치,617,271,888,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 2WD 20인치,644,284,928,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,285,931,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,290,945,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV3 롱레인지 2WD 17인치,565,282,847,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV3 롱레인지 2WD 19인치,565,282,847,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV3 스탠다드 2WD,479,239,718,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,더뉴EV6 GT,232,116,348,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,더뉴EV6 스탠다드,582,255,837,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV9 스탠다드,242,121,363,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,282,847,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV4 스탠다드 2WD 19인치,491,245,736,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV4 롱레인지 2WD 17인치,565,282,847,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV4 롱레인지 2WD 19인치,565,282,847,2025-07-13 20:18:16
2025,울산광역시,광역시,기아,일반승용,EV4 스탠다드 2WD 17인치,522,261,783,2025-07-13 20:18:16
2025,울산광역시,광역시,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,76,228,2025-07-13 20:18:16
2025,울산광역시,광역시,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,76,228,2025-07-13 20:18:16
2025,울산광역시,광역시,메르세데스벤츠코리아,일반승용,EQA250(Facelift),190,95,285,2025-07-13 20:18:16
2025,울산광역시,광역시,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(5인승),154,77,231,2025-07-13 20:18:16
2025,울산광역시,광역시,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(7인승),154,77,231,2025-07-13 20:18:16
2025,울산광역시,광역시,볼보자동차코리아,일반승용,볼보 EX30 Single Motor ER,247,123,370,2025-07-13 20:18:16
2025,울산광역시,광역시,비와이디코리아,일반승용,BYD ATTO 3,145,72,217,2025-07-13 20:18:16
2025,울산광역시,광역시,쎄보모빌리티,초소형,(단종)CEVO-C SE,200,100,300,2025-07-13 20:18:16
2025,울산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 2WD 18인치,373,178,551,2025-07-13 20:18:16
2025,울산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 2WD 20인치,356,169,525,2025-07-13 20:18:16
2025,울산광역시,광역시,케이지모빌리티,일반승용,코란도 EV 2WD,340,170,510,2025-07-13 20:18:16
2025,울산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 18인치,364,182,546,2025-07-13 20:18:16
2025,울산광역시,광역시,케이지모빌리티,일반승용,토레스 EVX 20인치,354,177,531,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,(단종)Model 3 RWD(2024),183,91,274,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,Model 3 Long Range,202,101,303,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y RWD,201,84,285,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Long Range,184,92,276,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Performance,191,95,286,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,Model 3 Performance,187,93,280,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,101,303,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,Model 3 RWD,186,93,279,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,New Model Y Long Range,207,103,310,2025-07-13 20:18:16
2025,울산광역시,광역시,테슬라코리아,일반승용,New Model Y RWD,188,94,282,2025-07-13 20:18:16
2025,울산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,100,301,2025-07-13 20:18:16
2025,울산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,101,303,2025-07-13 20:18:16
2025,울산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,211,633,2025-07-13 20:18:16
2025,울산광역시,광역시,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,107,322,2025-07-13 20:18:16
