지역,전기차보조금
서울특별시,60
부산광역시,280
대구광역시,250
인천광역시,230
광주광역시,330
대전광역시,250
울산광역시,290
세종특별자치시,200
경기도,200
강원특별자치도,288
충청북도,580
충청남도,700
전북특별자치도,630
전라남도,450
경상북도,600
경상남도,520
제주특별자치도,400
